,0
"Carney, Elizabeth ",6930
"Maddox, Jake ",3195
"Blume, Judy ",2700
" Tiffany, Sean (ILT)",2495
" Berenstain, Jan ",1661
" Berenstain, Jan (ILT)",1661
" Berenstain, Stan (ILT)",1661
"Berenstain, Stan ",1661
"Manushkin, Fran ",1536
" Lyon, Tammie (ILT)",1512
"Hunter, Erin ",1218
"McMullan, Kate ",992
" Zilber, Denis (ILT)",992
"Cox, Suzy ",704
"Levithan, David ",680
"Gagne, Tammy ",663
"Park, Barbara ",633
" Brunkus, Denise (ILT)",633
"Dahl, Michael ",623
"Osborne, Mary Pope ",593
" Mourning, Tuesday (ILT)",593
" Murdocca, Sal (ILT)",593
"Vernon, Ursula ",579
"Nickel, Scott ",528
"Erdrich, Louise ",525
"Kingsolver, Barbara ",523
"Andre, Bella ",521
"Holt, Kimberly Willis ",462
" Davenier, Christine (ILT)",462
"Kipling, Rudyard ",445
 Arcana Studio (COR),443
" Rodriguez, Pedro (ILT)",436
"Powell, Martin ",434
"Gerritsen, Tess ",420
" Smith, Tod (ILT)",417
"Forest, Christopher ",411
"MacLean, Sarah ",391
"Asselin, Kristine Carlson ",386
"Dunlap, Susanne ",365
" Santat, Dan (ILT)",359
"Scieszka, Jon ",359
" Korman, Gordon ",359
" Rylander, Chris ",359
"Lean, Sarah ",349
"Hartnett, Sonya ",337
" James, Ann (ILT)",337
"Lehane, Dennis ",336
"Hoena, Blake A. ",324
"Carson, Rae ",323
"Green, Tim ",307
" Boyce, Natalie Pope ",299
"Everheart, Chris ",296
" Osborne, Will ",294
" Ferran, Daniel (ILT)",289
"Dell, Pamela ",287
"Redwine, C. J. ",270
"Haynes, Elizabeth ",267
"Verne, Jules ",265
"Dare, Tessa ",257
"James, Eloisa ",253
"Yomtov, Nel ",252
"Brezenoff, Steve ",251
"Higgins, Melissa ",251
" Sandoval, Gerardo (ILT)",233
" Valdez Y Alanis, Erik (ILT)",231
"Shakespeare, William ",231
"Gunderson, Jessica ",226
"Castle, Richard ",225
"Raatma, Lucia ",220
" Blecha, Aaron (ILT)",219
" Canga, C. B. (ILT)",216
"Hall, Brianna ",212
"Chabon, Michael ",210
"Schuette, Sarah L. ",209
" Nayeri, Dina ",197
"Nayeri, Daniel ",197
"Kade, J. V. ",196
" Dietrich, Sean (ILT)",194
" Harpster, Steve (ILT)",189
 Aburtov (ILT),188
"Nhat Hanh, Thich ",187
"Collins, Terry ",187
"Sherman, M. Zachary ",184
"Harman, Patricia ",183
" Ruiz, Alfonso (ILT)",179
"Andersen, Hans Christian ",175
" Timmins, Jeffrey Stewart (ILT)",173
" Wood, Katie (ILT)",170
"Shores, Erika L. ",169
" Brannon, Tom (ILT)",169
"Hayward, Linda ",169
"Perritano, John ",169
"Perry, Anne ",168
" Baines, Nigel (ILT)",164
"Ghoulstone, Rotterly ",164
" Kemarskaya, Oksana (ILT)",162
"Slingerland, Janet ",162
"Lemke, Donald ",161
"Meister, Cari ",161
" Smith, Andy J. (ILT)",156
" Jennings, C. S. (ILT)",156
"Amstutz, Lisa J. ",155
" Byers, Michael (ILT)",155
"Flynn, Vince ",151
"Day, Sylvia ",150
"O'Reilly, Sean ",147
" Vidal, Oriol (ILT)",145
"Wells, H. G. ",145
"Dolamore, Jaclyn ",143
" Crowther, Jeff (ILT)",141
"Hitzmann, Sue ",140
"Green, D. L. ",140
" Alves, Josh (ILT)",140
"Peschke, Marci ",138
"Biskup, Agnieszka ",134
"Kraatz, Jeramey ",133
" Kinsella, Pat (ILT)",126
" Feldman, Luke (ILT)",126
"Bracken, Beth ",124
"Crossan, Sarah ",124
"Pratchett, Terry ",123
"King, Laurie R. ",119
"Roberts, Nora ",118
"March, Emily ",118
"Hart, Christopher ",117
" Tercio, Ricardo (ILT)",116
"James, E. L. ",114
"Chopra, Deepak ",114
"Kreie, Chris ",113
"Gray, Shelley Shepard ",111
"Schwartz, Heather E. ",110
" Garcia, Eduardo (ILT)",109
" Smith, Tod G. (ILT)",108
"Bjorkman, Lauren ",105
"Doeden, Matt ",105
" Santillan, Jorge H. (ILT)",104
 Pulsar Studio (COR),103
"Awdry, W. ",103
"Bieber, Justin ",102
American Heart Association (COR),102
" Casas, Fritz (ILT)",101
"Stoker, Bram ",99
"Wells, Robison ",98
"Trueman, Terry ",98
"Livingston, Lesley ",97
"Ashe, Katharine ",96
"McNeil, Gretchen ",96
" Bush, Timothy (ILT)",96
"Roy, Ron ",96
"Harbo, Christopher L. ",95
"Carlisle, Kate ",94
"Peymani, Christine ",94
" Jacobson, Andrew ",93
"Epstein, Adam Jay ",93
"Harrison, Kim ",92
"Maxwell, Cathy ",91
"Locke, Attica ",90
"Stewart, Mark ",88
" Simard, Remy (ILT)",88
"Brennan, Herbie ",86
"Reynolds, Aaron ",86
" Lervold, Erik (ILT)",86
"Carter, Ally ",86
" Cabrera, Eva (ILT)",85
"Kalz, Jill ",85
" Fabbri, Daniele (ILT)",85
"Williamson, Marianne ",84
"Stevens, Eric ",83
"Shepard, Sara ",83
"Neill, Chloe ",79
"Gagnon, Michelle ",79
"Zhang, Kat ",78
" Tanner, Jennifer (ILT)",77
"Stevenson, Robert Louis ",76
"Oxford, Kelly ",76
